dataset,AUC_Original_mean,AUC_Original_std,AUC_Adaptive_mean,AUC_Adaptive_std
Friday-WorkingHours-Morning.npz,0.5444133902786679,0.03134944892189659,0.5281822388787439,0.04316268639830271
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9205725177833379,0.005217393193861471,0.924155098929804,0.005778317850852316
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141328348,0.021216401873007044,0.610671683311083,0.04160257118135654
Tuesday-WorkingHours.npz,0.6318112189950517,0.015880518556383158,0.5960671583918788,0.01168545395914322
backdoor.npz,0.6186276188035844,0.03329577817574836,0.6348149870496821,0.0421300390116146
campaign.npz,0.7083410252530447,0.008051627273743034,0.7333439881138833,0.016916114377903562
celeba.npz,0.793206472342574,0.003808558866677442,0.8183778674289781,0.009192722498644102
census.npz,0.6641783406113024,0.00891197551561253,0.7010843860195957,0.008327457955063221
cover.npz,0.8782419509077268,0.01845534967612216,0.864794207755971,0.023550357862909925
donors.npz,0.7333621749613257,0.007191580701609868,0.8110062188272071,0.010944180395945864
fraud.npz,0.9432602161463818,0.001583750944555575,0.9507427254552342,0.0017648550435934364
http.npz,0.9431487036963441,0.011302018795552177,0.9282044930948438,0.06230899397720473
insects.npz,0.7539241299007153,0.005751766753272539,0.8176264528406241,0.006186833610324965
mammography.npz,0.8690286551313742,0.004430846764348652,0.8800559510982471,0.006379863597203739
mulcross.npz,0.979431623440376,0.0027259012962582247,0.9277136630748917,0.004897077709818418
nyc_taxi.npz,0.6093642929821457,0.013523123256184186,0.6168711233539986,0.009144018984824854
nyc_taxi_shingle.npz,0.660870540743954,0.006380956603657188,0.6544253991928006,0.00793713747750668
shuttle.npz,0.9971461123437002,0.0006610132816746912,0.9923923421326533,0.000845381559180597
smtp.npz,0.8918200772309008,0.007096510242809495,0.9008119756953935,0.01012853929648143
