window,original_run_0,globalLS_run_0,original_run_1,globalLS_run_1,original_run_2,globalLS_run_2,original_run_3,globalLS_run_3,original_run_4,globalLS_run_4,original_run_5,globalLS_run_5,original_run_6,globalLS_run_6,original_run_7,globalLS_run_7,original_run_8,globalLS_run_8,original_run_9,globalLS_run_9,original_mean,original_std,globalLS_mean,globalLS_std
0,0.868252516010979,0.8290419552999607,0.8613253169520324,0.8240752842765651,0.8601490001307018,0.7591164553653117,0.8529603973336819,0.5940399947719253,0.853352502940792,0.6204417723173441,0.8560972421905634,0.701999738596262,0.8550516272382696,0.6733760292772186,0.852829695464645,0.5631943536792576,0.8479937263102862,0.5745654162854529,0.9019735982224546,0.6442295124820285,0.8609985622794406,0.01545862354608656,0.6784080512351327,0.09815462358644461
50,0.8483780454421023,0.7939022721051191,0.8415001368738023,0.7804202025732275,0.8533055023268545,0.7534218450588557,0.8318505338078293,0.599096632904462,0.8356830002737476,0.5827402135231317,0.8230906104571585,0.6693471119627703,0.837359704352587,0.5502669039145908,0.8247673145359978,0.5830139611278401,0.8178894059676978,0.5201204489460718,0.8540583082398029,0.5607719682452779,0.8367882562277581,0.01266150541689067,0.6393101560361346,0.10221118945222635
100,0.8500851788756388,0.798388153584065,0.843598479884681,0.7848578167998952,0.8551631503079544,0.7595662429563621,0.834392609094483,0.6007076398899227,0.8377342419080068,0.5902240859651422,0.8256453937884944,0.673666622985192,0.8396016249508584,0.5568405189359193,0.8271851657711964,0.5855720089110209,0.8202070501900145,0.5197877080330232,0.8561459834884025,0.5576923076923077,0.838975887825973,0.012443456541098085,0.6427303105752851,0.10357528894597465
150,0.852595525389643,0.802664655605832,0.8464680744092509,0.7893413775766717,0.8573403720462545,0.7646744595274007,0.8369469582704877,0.6037581699346406,0.8404663147310206,0.5987305178481649,0.8286199095022624,0.6786701860231272,0.8424773755656109,0.5646367521367521,0.8297825540472599,0.5892408245349421,0.8232151835093011,0.5204248366013072,0.8584087481146305,0.5570010055304173,0.8416321015585723,0.012223496637233574,0.6469142785319256,0.10423449797875461
200,0.8534899166767298,0.8042808839512137,0.8472406714164956,0.7932013041903152,0.8582598719961356,0.7692609588213984,0.8376403815964256,0.607505132230407,0.8408404782031156,0.6039427605361671,0.8300326047578795,0.6823451274000725,0.8434971621784808,0.5696775751720807,0.8308779132954958,0.5914140804250694,0.8242060137664534,0.5217968844342471,0.8591957493056395,0.5581753411423741,0.8425280763192851,0.01212393854822982,0.6501600048303346,0.10448669454698267
250,0.8553625377643506,0.8030443876365326,0.8493202416918428,0.7989193585870322,0.8598361608180339,0.7739077387868929,0.8395596095747153,0.6159365558912386,0.8432488961189867,0.6083546363002557,0.8321810364861725,0.691900999302812,0.8455147571461771,0.5753834534046015,0.833284917499419,0.5956019056472229,0.8267197304206366,0.5285556588426679,0.8607657448291889,0.5627759702533117,0.8445793632349524,0.011839735964162375,0.6554380664652568,0.10338216660942233
300,0.8579946254618744,0.8031855335348785,0.8523121710894638,0.8048650766991379,0.8625853767775165,0.7793640129884671,0.8424588511924757,0.6235863845034151,0.8462938080842011,0.613957003694995,0.8355447318329415,0.7021050274325384,0.8483372522673833,0.5849009069533087,0.8365804501175681,0.6025641025641026,0.8303101556376666,0.5367260105251371,0.8635091255178592,0.5714645616392342,0.847592654797895,0.011558036284617407,0.6622718620535213,0.10158556335554898
350,0.8586052290406223,0.8021283491789111,0.8532303370786517,0.8085296024200518,0.8634129213483146,0.7833027225583405,0.8435069144338807,0.6333729472774416,0.8473962834917891,0.6193820224719101,0.8364574330164217,0.7086214347450301,0.8494219965427829,0.5863493949870354,0.8377808988764046,0.6074438202247191,0.8311365600691444,0.5442685825410545,0.8643042350907519,0.5727636127917026,0.8485252808988765,0.011474925259779112,0.6666162489196197,0.10052125268453
400,0.8606617263333681,0.800855860557353,0.8554169710886128,0.8133284625821939,0.8653585220749399,0.7870264064293916,0.8453449535539088,0.6419215113244965,0.849676442960025,0.6224559023066486,0.8389781859931114,0.7165744703058136,0.8513203214695753,0.5907525310510385,0.840256758167206,0.609017847823818,0.8336812441290053,0.5498904080993634,0.8661413213652019,0.5794019413422399,0.8506836447134954,0.011259559261795785,0.6711225341822357,0.09955468288234894
450,0.8606904906117505,0.7995659196446598,0.8556178073894609,0.8158439329699172,0.8654350898445387,0.7894962648899657,0.84575005047446,0.6498334342822532,0.8495861094286291,0.6263375731879669,0.8389864728447406,0.7218604885927721,0.8517565112053301,0.5923682616596002,0.8408287906319402,0.6145770240258429,0.8339390268524127,0.5569099535634969,0.8663436301231577,0.5787653947102767,0.8508933979406421,0.011194757814869546,0.6745558247526751,0.0985132226220272
