window,original_run_0,globalLS_run_0,original_run_1,globalLS_run_1,original_run_2,globalLS_run_2,original_run_3,globalLS_run_3,original_run_4,globalLS_run_4,original_run_5,globalLS_run_5,original_run_6,globalLS_run_6,original_run_7,globalLS_run_7,original_run_8,globalLS_run_8,original_run_9,globalLS_run_9,original_mean,original_std,globalLS_mean,globalLS_std
31700,0.9944556206474674,0.979361698523313,0.9975762632778366,0.9810537623193435,0.9962884362195585,0.9782715590329858,0.9963796221026014,0.983713690269499,0.9962829863344205,0.981847363073076,0.9950785026415474,0.9812730131184643,0.9964657421032531,0.9797748411709253,0.9967352381848669,0.9838235002857647,0.9958960297202766,0.9733144528044304,0.9957359744215178,0.979080741436639,0.9960894415653346,0.0008682212231221919,0.9801514622034441,0.003042516879747069
31750,0.9944659179261679,0.9793679202949921,0.9975776807582794,0.9810767570569634,0.9962931237691753,0.9782867443808284,0.9963881163919744,0.9837383758610924,0.9962878390408964,0.9818720865819262,0.995090561032201,0.9812789015938107,0.9964702725717111,0.9798044035211834,0.996739823155327,0.9838447475784865,0.9959020097144493,0.9733513822751481,0.995745499321516,0.9791055239674866,0.9960960843681697,0.0008653525959524845,0.9801726843111919,0.00303930319318509
31800,0.9944761052389293,0.979375437079142,0.9975811742006109,0.9810846133825052,0.9962998022429111,0.9782961466552179,0.9963942058310993,0.9837580014162742,0.9962940901577026,0.9818839528951204,0.995099148363337,0.9812866214961626,0.9964764950997578,0.9798176611360515,0.99674590288207,0.9838567808435162,0.9959096624179666,0.973372725674171,0.9957518532155627,0.9791220495666562,0.9961028439649947,0.0008636522572661836,0.9801853990144819,0.003037774573342166
31850,0.9944894656993338,0.9793749497095223,0.9975879443300868,0.9811037571193029,0.996306594160599,0.9783175110346451,0.9964045270939491,0.9837709738723595,0.9962954168733148,0.981898939181805,0.9951113559190612,0.9813091763480408,0.9964869961625622,0.9798386023124112,0.996751710607743,0.983876646053057,0.9959162669030867,0.9734068781280679,0.9957583511453061,0.9791474538754026,0.9961108628895043,0.0008616918982487461,0.9802044887634616,0.003033374754995524
31900,0.9944925471192517,0.9793602313510672,0.997589032157027,0.9811028363534902,0.9963095071226996,0.9783213052597776,0.9964068708575976,0.983762199246029,0.9962941485008503,0.981890637297984,0.9951154618706226,0.9812955782980279,0.9964893431530599,0.9798394291124342,0.9967549363552288,0.9838842944499502,0.9959182418512547,0.9734168972783689,0.9957608743751014,0.9791523205775355,0.9961130963362693,0.0008610749256899606,0.9802025729224665,0.0030296628709543813
31950,0.9945047999077175,0.979338452932104,0.9975933642770125,0.9811064392732671,0.9963168225001632,0.9783229551413699,0.9964138187124925,0.983781790752428,0.9963017992236927,0.9818957581429506,0.9951263442993742,0.981285481208647,0.9964967378818497,0.9798526944450153,0.9967615959168366,0.983889850617972,0.9959270616433565,0.9734269537727378,0.9957692881255383,0.9791591635202704,0.9961211632488034,0.0008588708363236518,0.9802059539806762,0.0030306406187892497
32000,0.9945205498135952,0.9793570913099211,0.9975998412972394,0.9811316149897961,0.9963271692463024,0.9783418092045046,0.9964241239571637,0.9838050083768173,0.996312296666441,0.9819200648601187,0.9951401777652,0.9813074886878435,0.99650633667667,0.979877501016559,0.9967710685982003,0.9839047634856428,0.9959391327553466,0.9734607300628786,0.9957802645827605,0.9791815803577243,0.9961320961358918,0.0008563765758937886,0.9802287652351807,0.0030274385183152674
32050,0.9945294836691474,0.9793736159983312,0.997605149837177,0.9811514694223318,0.9963355066945195,0.9783577162911403,0.9964326462443952,0.9838205644716451,0.9963213278504806,0.9819401603879009,0.9951512404484689,0.9813272436837917,0.9965143771525348,0.9798988842971459,0.996778566634324,0.9839173712527323,0.9959455450788206,0.9734884552885852,0.9957852518001381,0.9792025004999129,0.9961399095410005,0.0008554661723324847,0.9802477981593517,0.003024273065238588
32100,0.9945386222498626,0.9793471667162391,0.9976062515209692,0.9811680537904804,0.9963398967092989,0.9783588351404698,0.9964367772580195,0.9838424789768272,0.996325518932122,0.9819554714328204,0.995162952347475,0.9813415100631823,0.9965189483456363,0.9799113033916486,0.9967862711696365,0.9839242606963561,0.9959516823044822,0.9735048571866354,0.9957947525439617,0.979216613038423,0.9961461673381464,0.0008528987382409969,0.9802570550433082,0.0030261750143543023
32150,0.9945258909431651,0.9793518993587916,0.9975982675531874,0.981180588739257,0.996334720472013,0.9783683761854246,0.996435386893799,0.9838505011388905,0.9963240853775597,0.9819663624770609,0.9951568441855334,0.9813544919616819,0.9965096166870185,0.9799233737846849,0.9967786313292555,0.98393230070164,0.9959495544802069,0.9735196078041964,0.9957891645916,0.9792313586941912,0.9961402162513338,0.0008538387531361955,0.9802678860845818,0.0030247338299983465
32200,0.994543038261077,0.9793709424713136,0.997605647359984,0.9812098987873579,0.9963462768035115,0.9783892127219109,0.99644686298652,0.9838826235096164,0.9963356518054203,0.9819954173709313,0.9951718201993947,0.9813768732850253,0.9965207934725633,0.9799511161187686,0.9967887556376476,0.9839468179987582,0.9959592745113652,0.9735611046149499,0.9958017492360218,0.9792547414125674,0.9961519870273505,0.0008512932440503994,0.9802938748291201,0.0030209888353352385
32250,0.9945510954469565,0.9793950514590111,0.9976077314466858,0.9812355877281048,0.9963480577377785,0.9784204087142016,0.9964553640167289,0.9838834426654451,0.9963342426436839,0.9820022325877811,0.9951774178100479,0.9813912254065609,0.9965213250192468,0.9799710565921114,0.9967937266729208,0.983960232873055,0.9959591349802411,0.9735884688338335,0.9958053545533179,0.9792867736946437,0.9961553450327607,0.0008499021384091927,0.9803134480554749,0.003013516361638072
32300,0.9945556516693487,0.979408946661128,0.9976088003872714,0.9812518508070485,0.9963518720633274,0.9784427340301574,0.9964599840540156,0.9838974533621555,0.9963428401747918,0.9820177093680444,0.9951887956032197,0.9814074015813697,0.996525885499387,0.9799944666149133,0.9968010304444591,0.9839752643640185,0.9959646975103001,0.9736126538410904,0.995810500094671,0.9793107925412385,0.996161005750079,0.0008486266892767105,0.9803319273171164,0.0030103123246470534
