dataset,method,auc,pr,runtime,seed,shuffled
backdoor,AIF,0.603519705,0.027575162,3460.383681,2,FALSE
backdoor,AIF,0.718775401,0.043001807,3480.093821,6,FALSE
backdoor,AIF,0.695367173,0.037448431,3461.878234,7,FALSE
backdoor,AIF,0.705673687,0.041625312,3507.99699,8,FALSE
backdoor,AIF,0.715082003,0.044573584,3464.040519,5,FALSE
backdoor,AIF,0.639011905,0.031082388,3471.219759,1,FALSE
backdoor,AIF,0.601443674,0.027741075,3461.732358,4,FALSE
backdoor,AIF,0.620131306,0.028887246,3479.315126,3,FALSE
backdoor,AIF,0.629811085,0.030117834,3486.799637,9,FALSE
backdoor,AIF,0.678026517,0.036517457,3446.182232,0,FALSE
campaign,AIF,0.713461911,0.287203154,708.8593459,7,FALSE
campaign,AIF,0.714623961,0.303664211,705.6198857,3,FALSE
campaign,AIF,0.719150533,0.3016744,698.6349647,5,FALSE
campaign,AIF,0.722740026,0.297042638,700.2502933,9,FALSE
campaign,AIF,0.724277677,0.276989292,700.335381,8,FALSE
campaign,AIF,0.714245266,0.29271929,707.3157954,6,FALSE
campaign,AIF,0.710638717,0.298570688,695.6764879,0,FALSE
campaign,AIF,0.713211709,0.274065321,688.3383982,1,FALSE
campaign,AIF,0.705166086,0.284324325,707.457829,4,FALSE
campaign,AIF,0.710490742,0.286702426,692.1962779,2,FALSE
celeba,AIF,0.792768207,0.101166839,2957.984137,3,FALSE
celeba,AIF,0.787016491,0.098244792,2944.881632,8,FALSE
celeba,AIF,0.788111789,0.097964767,2967.423228,7,FALSE
celeba,AIF,0.783262795,0.096694421,2990.330758,9,FALSE
celeba,AIF,0.795648934,0.098917124,2965.307074,6,FALSE
celeba,AIF,0.785890039,0.101887233,2958.273086,5,FALSE
celeba,AIF,0.784630526,0.092400498,2923.973772,1,FALSE
celeba,AIF,0.80017524,0.106601109,2914.048119,0,FALSE
celeba,AIF,0.788056651,0.101332241,2942.508702,4,FALSE
celeba,AIF,0.797394357,0.100393717,2962.229981,2,FALSE
census,AIF,0.642549519,0.082924736,15166.1497,2,FALSE
census,AIF,0.652716093,0.08654558,15121.40646,0,FALSE
census,AIF,0.653356005,0.086556593,15146.12115,5,FALSE
census,AIF,0.663084836,0.0883927,15128.00113,3,FALSE
census,AIF,0.648061303,0.083723398,15093.18903,6,FALSE
census,AIF,0.663611398,0.089665544,15099.13557,9,FALSE
census,AIF,0.645969454,0.083414632,15276.70011,4,FALSE
census,AIF,0.649698004,0.085281428,15010.82638,8,FALSE
census,AIF,0.656545377,0.085623497,15180.12503,7,FALSE
census,AIF,0.65359062,0.085444524,15088.13077,1,FALSE
cover,AIF,0.877428115,0.048208374,2144.19367,5,FALSE
cover,AIF,0.873001076,0.04880459,2140.487155,4,FALSE
cover,AIF,0.883841184,0.044868415,2131.700324,9,FALSE
cover,AIF,0.874163292,0.047092716,2154.543706,7,FALSE
cover,AIF,0.892805558,0.05263278,2131.253257,3,FALSE
cover,AIF,0.897968485,0.048688259,2144.603179,2,FALSE
cover,AIF,0.876007107,0.040988468,2129.120822,8,FALSE
cover,AIF,0.886180202,0.046545541,2127.656584,6,FALSE
cover,AIF,0.858568271,0.046562433,2151.39686,1,FALSE
cover,AIF,0.878880933,0.055574504,2131.256026,0,FALSE
donors,AIF,0.723879392,0.12102307,3656.090777,5,FALSE
donors,AIF,0.719641604,0.119241433,3601.918538,6,FALSE
donors,AIF,0.711528721,0.115605291,3644.28172,7,FALSE
donors,AIF,0.711330209,0.115274433,3637.535631,1,FALSE
donors,AIF,0.723732668,0.120242988,3652.589471,9,FALSE
donors,AIF,0.71467738,0.118035209,3640.967055,2,FALSE
donors,AIF,0.707056354,0.11421385,3606.97825,4,FALSE
donors,AIF,0.71541114,0.118774848,3660.360171,3,FALSE
donors,AIF,0.716885883,0.119007201,3660.573799,8,FALSE
donors,AIF,0.734022251,0.124951279,3635.097708,0,FALSE
fraud,AIF,0.943905542,0.121086347,1911.755914,7,FALSE
fraud,AIF,0.942470464,0.106249255,1891.355185,0,FALSE
fraud,AIF,0.943526496,0.11422158,1896.927837,9,FALSE
fraud,AIF,0.945078522,0.112914975,1892.998359,3,FALSE
fraud,AIF,0.944658918,0.119836989,1909.10626,6,FALSE
fraud,AIF,0.940898299,0.117176834,1907.600007,2,FALSE
fraud,AIF,0.946099204,0.106669414,1895.372205,5,FALSE
fraud,AIF,0.946488808,0.130691185,1901.290948,8,FALSE
fraud,AIF,0.94114186,0.126323219,1880.657172,1,FALSE
fraud,AIF,0.940695223,0.138524513,1908.93436,4,FALSE
http,AIF,0.965426523,0.055802797,2199.265281,6,FALSE
http,AIF,0.942035659,0.033573963,2217.916957,9,FALSE
http,AIF,0.94592581,0.036308038,2201.034401,7,FALSE
http,AIF,0.922234631,0.024759853,2228.508087,2,FALSE
http,AIF,0.937968065,0.031272122,2201.091566,0,FALSE
http,AIF,0.964575306,0.054753833,2242.35352,1,FALSE
http,AIF,0.936873362,0.030777637,2229.389422,5,FALSE
http,AIF,0.945272235,0.035287251,2229.491637,8,FALSE
http,AIF,0.944701559,0.034779867,2206.535038,3,FALSE
http,AIF,0.945081019,0.035177125,2231.676663,4,FALSE
mammography,AIF,0.86953218,0.265781488,47.70106149,6,FALSE
mammography,AIF,0.869964929,0.259255603,47.07583165,5,FALSE
mammography,AIF,0.864851865,0.206057757,47.54982448,3,FALSE
mammography,AIF,0.862086353,0.271210343,47.16663575,0,FALSE
mammography,AIF,0.873714252,0.274309834,47.56286693,1,FALSE
mammography,AIF,0.868312101,0.217777532,45.65888214,2,FALSE
mammography,AIF,0.858318016,0.187326187,48.06956196,4,FALSE
mammography,AIF,0.879430489,0.343531125,46.92483401,7,FALSE
mammography,AIF,0.857152515,0.230355048,47.11661482,9,FALSE
mammography,AIF,0.873371643,0.250271375,47.50650787,8,FALSE
mulcross,AIF,0.964785257,0.557545214,1135.407701,8,FALSE
mulcross,AIF,0.968607647,0.586132479,1147.944279,0,FALSE
mulcross,AIF,0.967999288,0.579840722,1158.408,5,FALSE
mulcross,AIF,0.968395482,0.589327588,1136.929987,4,FALSE
mulcross,AIF,0.974745222,0.644508036,1160.947277,6,FALSE
mulcross,AIF,0.97158569,0.610493938,1157.392698,9,FALSE
mulcross,AIF,0.968899699,0.594490392,1143.274877,2,FALSE
mulcross,AIF,0.969121685,0.588887199,1137.915833,3,FALSE
mulcross,AIF,0.971535664,0.608671331,1142.613611,7,FALSE
mulcross,AIF,0.971852987,0.614565439,1142.631504,1,FALSE
nyc taxi,AIF,0.603057001,0.088304406,56.71162248,2,FALSE
nyc taxi,AIF,0.608316025,0.087547056,56.95318413,6,FALSE
nyc taxi,AIF,0.591065618,0.082926246,57.04795218,5,FALSE
nyc taxi,AIF,0.611418582,0.095829815,57.73699093,0,FALSE
nyc taxi,AIF,0.610487081,0.094315406,57.15995336,1,FALSE
nyc taxi,AIF,0.60447418,0.09316522,56.79890323,3,FALSE
nyc taxi,AIF,0.604543589,0.093464553,57.19860721,4,FALSE
nyc taxi,AIF,0.615471994,0.093161368,57.33512378,8,FALSE
nyc taxi,AIF,0.605593888,0.083746053,56.60975766,7,FALSE
nyc taxi,AIF,0.610236233,0.093725179,58.08497334,9,FALSE
nyc taxi shingle,AIF,0.659202415,0.207656294,209.10798,7,FALSE
nyc taxi shingle,AIF,0.653522626,0.17756368,210.7187016,5,FALSE
nyc taxi shingle,AIF,0.660405895,0.204251324,210.1366909,9,FALSE
nyc taxi shingle,AIF,0.658943555,0.186709321,213.5831537,8,FALSE
nyc taxi shingle,AIF,0.664566628,0.189744814,210.8890734,6,FALSE
nyc taxi shingle,AIF,0.64089653,0.151175842,209.1093285,0,FALSE
nyc taxi shingle,AIF,0.652170843,0.172554225,209.0418994,1,FALSE
nyc taxi shingle,AIF,0.655408992,0.163990353,211.2876956,2,FALSE
nyc taxi shingle,AIF,0.645412502,0.172642516,205.7189667,3,FALSE
nyc taxi shingle,AIF,0.648635322,0.189983605,212.1715732,4,FALSE
shuttle,AIF,0.997784932,0.977557148,260.0024788,3,FALSE
shuttle,AIF,0.997039733,0.967599762,261.1666603,2,FALSE
shuttle,AIF,0.99650344,0.953147323,258.5148473,1,FALSE
shuttle,AIF,0.997437752,0.966830636,258.2589962,0,FALSE
shuttle,AIF,0.997088529,0.962342182,259.9380612,8,FALSE
shuttle,AIF,0.996372289,0.953377844,263.0852683,4,FALSE
shuttle,AIF,0.99699218,0.965046836,260.6693249,5,FALSE
shuttle,AIF,0.996643413,0.958827847,260.5789149,9,FALSE
shuttle,AIF,0.996586206,0.96228026,257.2399948,7,FALSE
shuttle,AIF,0.996880129,0.958384386,259.1391416,6,FALSE
smtp,AIF,0.877694847,0.001898155,372.6250536,3,FALSE
smtp,AIF,0.876516235,0.001832026,371.5804915,2,FALSE
smtp,AIF,0.885482588,0.001675429,374.3663931,7,FALSE
smtp,AIF,0.889789507,0.002005396,375.5630674,0,FALSE
smtp,AIF,0.896872219,0.001991495,372.7711961,6,FALSE
smtp,AIF,0.886731633,0.001943276,370.3287861,8,FALSE
smtp,AIF,0.880810889,0.001749049,369.9113476,1,FALSE
smtp,AIF,0.884831346,0.001936331,372.6045938,5,FALSE
smtp,AIF,0.895402238,0.001848514,376.9366677,9,FALSE
smtp,AIF,0.885032658,0.00174628,379.2433062,4,FALSE
insects,AIF,0.75647362,0.116428841,1797.825365,4,FALSE
insects,AIF,0.74875854,0.109230826,1852.40326,9,FALSE
insects,AIF,0.770377419,0.124828357,1898.868816,2,FALSE
insects,AIF,0.758576394,0.114821522,1908.104326,0,FALSE
insects,AIF,0.747169681,0.110396513,2008.955109,1,FALSE
insects,AIF,0.763749919,0.118997601,1807.04011,3,FALSE
insects,AIF,0.753975716,0.111925898,1773.600903,6,FALSE
insects,AIF,0.770831232,0.124065101,1965.976132,8,FALSE
insects,AIF,0.750359916,0.113413712,1824.281818,7,FALSE
insects,AIF,0.744529069,0.108214884,1863.677578,5,FALSE
Tuesday-WorkingHours,AIF,0.643271958,0.042700831,4966.1502,7,FALSE
Tuesday-WorkingHours,AIF,0.635166238,0.041274003,4980.9449,9,FALSE
Tuesday-WorkingHours,AIF,0.603714057,0.037809841,4898.683026,0,FALSE
Tuesday-WorkingHours,AIF,0.634372373,0.040748781,4900.820141,1,FALSE
Tuesday-WorkingHours,AIF,0.631901884,0.041487988,4968.515339,4,FALSE
Tuesday-WorkingHours,AIF,0.631295949,0.040009527,4914.235428,2,FALSE
Tuesday-WorkingHours,AIF,0.639476416,0.042303694,4947.328949,6,FALSE
Tuesday-WorkingHours,AIF,0.644106945,0.041715466,4857.672877,5,FALSE
Tuesday-WorkingHours,AIF,0.6498002,0.043234688,4867.633158,8,FALSE
Tuesday-WorkingHours,AIF,0.63871263,0.041450573,4962.228343,3,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.611266477,0.01600558,2078.0101,2,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.609422619,0.015894567,2066.256279,3,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.571663269,0.014088451,2104.667812,9,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.65295276,0.017909796,2062.955001,6,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.622006793,0.016461179,2087.449045,1,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.624769587,0.016489138,2074.9518,5,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.62919349,0.016734905,2076.271534,7,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.605746659,0.015910218,2071.010619,4,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.628748869,0.016496377,2091.750908,8,FALSE
Thursday-WorkingHours-Morning-WebAttacks,AIF,0.610899191,0.015488646,2081.246235,0,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.910820565,0.012245062,3459.800736,9,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.921268348,0.009124778,3483.061401,1,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.911399241,0.009276106,3469.278642,7,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.904475011,0.006777938,3478.914959,6,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.913683669,0.008295088,3466.061486,8,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.918010717,0.006530642,3462.115315,3,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.916579117,0.007682718,3460.622397,5,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.920832862,0.009273982,3455.583828,2,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.916599476,0.014726467,3473.805513,0,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,AIF,0.91320164,0.0063352,3457.801781,4,FALSE
Friday-WorkingHours-Morning,AIF,0.510995124,0.009736297,2324.007427,9,FALSE
Friday-WorkingHours-Morning,AIF,0.560601584,0.01079528,2322.500859,4,FALSE
Friday-WorkingHours-Morning,AIF,0.545077556,0.010569091,2319.013807,2,FALSE
Friday-WorkingHours-Morning,AIF,0.562299165,0.010792184,2349.326476,5,FALSE
Friday-WorkingHours-Morning,AIF,0.529346136,0.010041109,2303.317082,0,FALSE
Friday-WorkingHours-Morning,AIF,0.523655733,0.009958778,2329.944329,8,FALSE
Friday-WorkingHours-Morning,AIF,0.53082643,0.010272815,2302.769993,3,FALSE
Friday-WorkingHours-Morning,AIF,0.550032,0.010596918,2313.225612,6,FALSE
Friday-WorkingHours-Morning,AIF,0.55227582,0.010657856,2321.349866,1,FALSE
Friday-WorkingHours-Morning,AIF,0.55245432,0.010627166,2313.201383,7,FALSE
backdoor,IFASD,0.607326535,0.02851693,283.6339118,2,FALSE
backdoor,IFASD,0.618704112,0.029408172,278.0297184,1,FALSE
backdoor,IFASD,0.622604124,0.029889228,286.4551172,3,FALSE
backdoor,IFASD,0.593810217,0.027406391,283.3961418,7,FALSE
backdoor,IFASD,0.61319922,0.029060423,280.5901151,4,FALSE
backdoor,IFASD,0.633888699,0.030995375,284.3952639,6,FALSE
backdoor,IFASD,0.618139686,0.029375314,285.8033926,9,FALSE
backdoor,IFASD,0.624225864,0.02969309,279.6386216,5,FALSE
backdoor,IFASD,0.611432594,0.028815481,284.4276671,0,FALSE
backdoor,IFASD,0.601135272,0.027980382,286.1670351,8,FALSE
campaign,IFASD,0.693757978,0.203569449,112.1528826,3,FALSE
campaign,IFASD,0.698434767,0.202021487,111.4659956,9,FALSE
campaign,IFASD,0.681208221,0.189869138,111.7364368,2,FALSE
campaign,IFASD,0.693575935,0.198901637,111.2026544,8,FALSE
campaign,IFASD,0.702239821,0.201819762,113.7874732,4,FALSE
campaign,IFASD,0.679273652,0.189895502,113.7804368,1,FALSE
campaign,IFASD,0.694376104,0.198063743,110.2183888,0,FALSE
campaign,IFASD,0.700956309,0.201539332,111.9633536,7,FALSE
campaign,IFASD,0.685647255,0.197006931,111.7185092,5,FALSE
campaign,IFASD,0.70548205,0.205342664,112.0731387,6,FALSE
celeba,IFASD,0.678259219,0.047950364,584.1367042,4,FALSE
celeba,IFASD,0.682696487,0.047548319,583.9887686,0,FALSE
celeba,IFASD,0.70070815,0.053624922,584.6406143,2,FALSE
celeba,IFASD,0.705016215,0.054783566,577.7934389,9,FALSE
celeba,IFASD,0.69283964,0.050911731,576.6275752,6,FALSE
celeba,IFASD,0.682203322,0.049384509,582.5721006,5,FALSE
celeba,IFASD,0.68415406,0.049179789,583.3773768,1,FALSE
celeba,IFASD,0.694611296,0.05334309,586.6411703,8,FALSE
celeba,IFASD,0.697228976,0.053480511,584.2336411,3,FALSE
celeba,IFASD,0.695327571,0.051528702,574.3258173,7,FALSE
cover,IFASD,0.681002654,0.23913678,817.8353977,4,FALSE
cover,IFASD,0.664366456,0.236778383,820.0949228,9,FALSE
cover,IFASD,0.670978747,0.235940628,813.7469597,7,FALSE
cover,IFASD,0.669536013,0.235058408,819.3582613,1,FALSE
cover,IFASD,0.635545659,0.232023063,821.4850249,3,FALSE
cover,IFASD,0.659979915,0.234284823,819.1499591,5,FALSE
cover,IFASD,0.655708804,0.237359815,812.6690044,2,FALSE
cover,IFASD,0.668972089,0.235914999,808.7556467,0,FALSE
cover,IFASD,0.662008017,0.23634388,817.6112375,6,FALSE
cover,IFASD,0.679874803,0.237777149,826.8888733,8,FALSE
donors,IFASD,0.772387982,0.116182016,1802.837791,0,FALSE
donors,IFASD,0.774288335,0.118515187,1803.760486,5,FALSE
donors,IFASD,0.760193514,0.111673586,1803.384556,2,FALSE
donors,IFASD,0.774099814,0.119658747,1798.50798,6,FALSE
donors,IFASD,0.78789714,0.129817296,1801.959796,8,FALSE
donors,IFASD,0.778916275,0.123243896,1816.728366,3,FALSE
donors,IFASD,0.783148763,0.123878954,1811.128187,1,FALSE
donors,IFASD,0.766432083,0.114364607,1799.429114,4,FALSE
donors,IFASD,0.75985899,0.110880851,1785.691128,9,FALSE
donors,IFASD,0.763441409,0.113364431,1809.5355,7,FALSE
fraud,IFASD,0.943371699,0.040067657,821.5961218,5,FALSE
fraud,IFASD,0.945748168,0.041681675,822.13606,9,FALSE
fraud,IFASD,0.944135466,0.041940268,820.3208625,1,FALSE
fraud,IFASD,0.94109926,0.037235706,812.8012512,2,FALSE
fraud,IFASD,0.943702064,0.037609638,821.661099,0,FALSE
fraud,IFASD,0.938234073,0.035486197,822.9491236,4,FALSE
fraud,IFASD,0.940087858,0.037955728,823.4797266,7,FALSE
fraud,IFASD,0.940482445,0.035368895,822.590836,8,FALSE
fraud,IFASD,0.939607235,0.034682636,813.5927649,6,FALSE
fraud,IFASD,0.945523523,0.041309188,816.3254151,3,FALSE
http,IFASD,0.948654927,0.049120095,1645.322215,6,FALSE
http,IFASD,0.959255398,0.060469908,1643.538936,3,FALSE
http,IFASD,0.955439664,0.055785446,1638.051114,1,FALSE
http,IFASD,0.949707992,0.050579647,1649.953336,5,FALSE
http,IFASD,0.939368221,0.041430365,1647.224795,9,FALSE
http,IFASD,0.938028712,0.04179288,1647.68589,4,FALSE
http,IFASD,0.950053279,0.050143292,1650.19088,8,FALSE
http,IFASD,0.955872096,0.05565397,1651.774522,0,FALSE
http,IFASD,0.950288128,0.049973475,1629.537428,7,FALSE
http,IFASD,0.951342853,0.050976349,1648.683228,2,FALSE
mammography,IFASD,0.720674617,0.038635179,24.80641556,0,FALSE
mammography,IFASD,0.724726407,0.039418752,25.01443648,5,FALSE
mammography,IFASD,0.720163698,0.038603909,24.95480442,9,FALSE
mammography,IFASD,0.716043599,0.037927949,27.03881049,6,FALSE
mammography,IFASD,0.72045525,0.038654114,25.62025571,4,FALSE
mammography,IFASD,0.717981641,0.0383215,26.10689783,8,FALSE
mammography,IFASD,0.718998549,0.038442589,25.37885356,1,FALSE
mammography,IFASD,0.733965204,0.040675783,25.2560668,7,FALSE
mammography,IFASD,0.717301002,0.038072542,25.76164365,2,FALSE
mammography,IFASD,0.72188871,0.038838941,25.38866901,3,FALSE
mulcross,IFASD,0.961459748,0.544842601,752.459362,3,FALSE
mulcross,IFASD,0.94745703,0.468919536,738.1997626,2,FALSE
mulcross,IFASD,0.942356978,0.445661061,755.917676,7,FALSE
mulcross,IFASD,0.952369904,0.492641728,750.7817519,1,FALSE
mulcross,IFASD,0.961512154,0.545156491,756.6305614,5,FALSE
mulcross,IFASD,0.952080426,0.496676686,750.4766371,4,FALSE
mulcross,IFASD,0.938456473,0.431637823,750.0247035,8,FALSE
mulcross,IFASD,0.957532719,0.52065365,751.163152,0,FALSE
mulcross,IFASD,0.950715142,0.485509974,747.5621541,6,FALSE
mulcross,IFASD,0.955404313,0.509964533,740.7753518,9,FALSE
nyc taxi,IFASD,0.637659261,0.072852694,23.08309293,6,FALSE
nyc taxi,IFASD,0.639647353,0.073263513,22.35006785,2,FALSE
nyc taxi,IFASD,0.634091336,0.07220594,22.03239751,5,FALSE
nyc taxi,IFASD,0.635868529,0.072439056,22.84996295,9,FALSE
nyc taxi,IFASD,0.633380649,0.07231494,21.21612287,7,FALSE
nyc taxi,IFASD,0.634143774,0.072053624,23.10506153,1,FALSE
nyc taxi,IFASD,0.620573511,0.069978772,24.03559208,3,FALSE
nyc taxi,IFASD,0.639005981,0.072773637,22.96898723,8,FALSE
nyc taxi,IFASD,0.635869578,0.071958897,23.48861432,4,FALSE
nyc taxi,IFASD,0.632394516,0.071534182,23.3349328,0,FALSE
nyc taxi shingle,IFASD,0.723836623,0.090075863,22.95170736,2,FALSE
nyc taxi shingle,IFASD,0.715175822,0.088130137,24.56996751,9,FALSE
nyc taxi shingle,IFASD,0.706331845,0.088399469,23.45225716,4,FALSE
nyc taxi shingle,IFASD,0.705992893,0.087802054,23.31092572,1,FALSE
nyc taxi shingle,IFASD,0.693154497,0.08422465,21.98416448,3,FALSE
nyc taxi shingle,IFASD,0.700921454,0.086152272,23.60210872,6,FALSE
nyc taxi shingle,IFASD,0.707473627,0.086991483,20.77742815,0,FALSE
nyc taxi shingle,IFASD,0.716961785,0.087888351,21.62313342,8,FALSE
nyc taxi shingle,IFASD,0.696847136,0.085709784,23.48818016,7,FALSE
nyc taxi shingle,IFASD,0.709417666,0.08694542,23.06748295,5,FALSE
shuttle,IFASD,0.955859263,0.42561332,133.7524595,8,FALSE
shuttle,IFASD,0.956554054,0.427499568,134.3879032,1,FALSE
shuttle,IFASD,0.956409626,0.425760755,134.0567317,4,FALSE
shuttle,IFASD,0.956628767,0.427430856,129.7951686,0,FALSE
shuttle,IFASD,0.95600091,0.426066726,132.0597637,7,FALSE
shuttle,IFASD,0.957184072,0.428890684,135.0485046,3,FALSE
shuttle,IFASD,0.956548174,0.426815478,135.3331032,5,FALSE
shuttle,IFASD,0.95593177,0.425155183,132.0073862,2,FALSE
shuttle,IFASD,0.956394506,0.426954046,135.5033972,6,FALSE
shuttle,IFASD,0.956317225,0.426716504,131.8131115,9,FALSE
smtp,IFASD,0.880701561,0.002023802,263.6896346,6,FALSE
smtp,IFASD,0.890794841,0.002216059,267.7699304,4,FALSE
smtp,IFASD,0.887978751,0.001852552,262.5573275,8,FALSE
smtp,IFASD,0.888811857,0.002000103,266.3360851,1,FALSE
smtp,IFASD,0.891743232,0.001887783,262.6776955,5,FALSE
smtp,IFASD,0.896269334,0.002023873,267.4170272,7,FALSE
smtp,IFASD,0.884146465,0.001970508,265.1331308,2,FALSE
smtp,IFASD,0.89044145,0.001793094,267.481288,3,FALSE
smtp,IFASD,0.882043115,0.001869127,263.9916017,0,FALSE
smtp,IFASD,0.892981589,0.002025922,263.4060938,9,FALSE
census,IFASD,0.577969278,0.067254026,534.3532848,4,FALSE
census,IFASD,0.591365001,0.070038745,526.6159194,1,FALSE
census,IFASD,0.600377844,0.071292201,528.7796912,2,FALSE
census,IFASD,0.5950545,0.070142326,532.1036842,0,FALSE
census,IFASD,0.601916519,0.071675106,529.594487,3,FALSE
census,IFASD,0.577969278,0.067254026,518.9458363,9,FALSE
census,IFASD,0.591365001,0.070038745,517.4391129,6,FALSE
census,IFASD,0.600377844,0.071292201,516.9840896,7,FALSE
census,IFASD,0.5950545,0.070142326,517.8009138,5,FALSE
census,IFASD,0.601916519,0.071675106,518.903569,8,FALSE
insects,IFASD,0.733382733,0.102527065,395.0037334,9,FALSE
insects,IFASD,0.724686024,0.096770083,469.7033467,2,FALSE
insects,IFASD,0.704815708,0.090137364,513.2521462,4,FALSE
insects,IFASD,0.725066718,0.096924031,402.7832236,3,FALSE
insects,IFASD,0.735300184,0.100992328,428.9047723,0,FALSE
insects,IFASD,0.74342233,0.105639794,408.6083384,6,FALSE
insects,IFASD,0.733470298,0.097654005,357.4409287,8,FALSE
insects,IFASD,0.705266353,0.092277652,404.3214631,7,FALSE
insects,IFASD,0.706664675,0.091406679,504.141921,1,FALSE
insects,IFASD,0.704971395,0.090852478,512.3536787,5,FALSE
Tuesday-WorkingHours,IFASD,0.391823383,0.031555268,946.7414515,6,FALSE
Tuesday-WorkingHours,IFASD,0.386599616,0.030751284,942.477154,9,FALSE
Tuesday-WorkingHours,IFASD,0.375574081,0.031671811,893.4779401,7,FALSE
Tuesday-WorkingHours,IFASD,0.394800749,0.032502058,944.9142759,0,FALSE
Tuesday-WorkingHours,IFASD,0.403956475,0.032658904,939.5023322,4,FALSE
Tuesday-WorkingHours,IFASD,0.396781019,0.03270437,778.3155253,3,FALSE
Tuesday-WorkingHours,IFASD,0.381984381,0.031150585,904.1990712,1,FALSE
Tuesday-WorkingHours,IFASD,0.38850855,0.031149577,810.8861754,8,FALSE
Tuesday-WorkingHours,IFASD,0.391982526,0.03136249,749.3671882,2,FALSE
Tuesday-WorkingHours,IFASD,0.404399186,0.031862388,843.073184,5,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.608986879,0.015004264,338.6200392,3,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.608306159,0.014843259,290.4330084,9,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.649842213,0.016647553,289.9422052,4,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.631696161,0.015754796,328.916544,1,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.615728917,0.015095593,347.2722917,8,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.610658181,0.014974227,331.5688317,2,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.607127273,0.014763679,309.0919473,0,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.598066782,0.014562637,268.629396,5,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.593940197,0.014395296,345.4229674,6,FALSE
Thursday-WorkingHours-Morning-WebAttacks,IFASD,0.651736824,0.016902651,287.4883337,7,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.914308406,0.001470929,611.3062029,2,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.916321136,0.001789999,534.5877323,1,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.91209935,0.001555744,570.8223038,6,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.912280611,0.001581771,646.4645214,8,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.914440332,0.001575455,643.0698357,4,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.909656668,0.001523691,508.3566105,5,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.91128031,0.001625771,668.0692143,7,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.913750282,0.001650485,467.4937081,9,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.910962743,0.001657538,531.6428082,3,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,IFASD,0.919547194,0.001680384,614.7527759,0,FALSE
Friday-WorkingHours-Morning,IFASD,0.592337287,0.011445438,377.634141,5,FALSE
Friday-WorkingHours-Morning,IFASD,0.615395022,0.012081505,436.5056043,9,FALSE
Friday-WorkingHours-Morning,IFASD,0.593157864,0.011541368,399.0667155,7,FALSE
Friday-WorkingHours-Morning,IFASD,0.577682175,0.011052254,388.9542305,1,FALSE
Friday-WorkingHours-Morning,IFASD,0.602764535,0.011810825,378.58043,6,FALSE
Friday-WorkingHours-Morning,IFASD,0.580810638,0.011119365,361.3537416,8,FALSE
Friday-WorkingHours-Morning,IFASD,0.609300802,0.011977835,393.0592346,3,FALSE
Friday-WorkingHours-Morning,IFASD,0.580996127,0.011088905,401.8870785,2,FALSE
Friday-WorkingHours-Morning,IFASD,0.613347588,0.012092862,422.3783607,0,FALSE
