dataset,AUC_Original_mean,AUC_Original_std,AUC_Adaptive_mean,AUC_Adaptive_std
Friday-WorkingHours-Morning.npz,0.5444133902786679,0.03134944892189659,0.5480141641456894,0.03367267996294134
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9205725177833379,0.005217393193861472,0.9179433676640123,0.012208578725228614
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141328348,0.021216401873007044,0.6345656816770248,0.023545527524532376
Tuesday-WorkingHours.npz,0.6318112189950515,0.015880518556383158,0.6034375716694944,0.015095643398111086
backdoor.npz,0.6186276188035845,0.03329577817574836,0.6348149870496822,0.0421300390116146
campaign.npz,0.7083410252530447,0.008051627273743034,0.7446435565486862,0.014254902885937394
celeba.npz,0.793206472342574,0.003808558866677442,0.8210321695287023,0.0046128541770343034
census.npz,0.6641783406113024,0.00891197551561253,0.6983890553004376,0.0049411319014627045
cover.npz,0.8782419509077268,0.01845534967612216,0.8579397498737924,0.02857452265598878
donors.npz,0.7333621749613257,0.007191580701609868,0.7932088559133043,0.004030715954996423
fraud.npz,0.9432602161463818,0.001583750944555575,0.9510841208129823,0.0013835460433187497
http.npz,0.9431487036963441,0.011302018795552177,0.9456181447044351,0.016547843335782474
insects.npz,0.7539241299007153,0.005751766753272539,0.8048452197870694,0.006562681825672277
mammography.npz,0.8690286551313742,0.004430846764348652,0.876282825935394,0.01195702247030891
mulcross.npz,0.979431623440376,0.0027259012962582247,0.9332345344488621,0.0026006819965838806
nyc_taxi.npz,0.6093642929821457,0.013523123256184186,0.6168711233539986,0.009144018984824854
nyc_taxi_shingle.npz,0.660870540743954,0.006380956603657188,0.6513717869520631,0.014864935576445025
shuttle.npz,0.9971461123437002,0.0006610132816746912,0.9929276185507343,0.0018096404100017365
smtp.npz,0.8918200772309008,0.007096510242809495,0.8694402336550121,0.04251635206112641
