window,active_run_0,active_run_1,active_run_2,active_run_3,active_run_4,active_run_5,active_run_6,active_run_7,active_run_8,active_run_9,active_mean,active_std
0,0.8698209384394197,0.8630244412495098,0.8618481244281793,0.8574042608809306,0.8516533786433146,0.8583191739641877,0.8598875963926285,0.8550516272382694,0.8506077636910208,0.9015814926153444,0.8629198797542804,0.014699657770704555
50,0.8601834108951547,0.8444771420750069,0.8563167259786476,0.8344511360525595,0.8435874623597043,0.8337667670407884,0.8422871612373392,0.8360594032302218,0.8308924171913497,0.865110867779907,0.8447132493840679,0.011964202860282023
100,0.8615188048748526,0.8464486961079807,0.8581444109553139,0.8369479753636484,0.8452037740794129,0.8357358144410955,0.8443847464290394,0.8380946140741712,0.8326562704756912,0.8667605818372428,0.8465895688638447,0.01177159062902137
150,0.863436400201106,0.8491075917546506,0.8601370035193564,0.8394607843137255,0.8473164906988436,0.8383295625942684,0.8470022624434389,0.8402149321266968,0.8350930115635997,0.8685583207642031,0.848865635997989,0.011532867151305755
200,0.8639657046250453,0.8498369762106026,0.8608863663808719,0.8400555488467576,0.8473614297790121,0.8394819466248037,0.8477538944571912,0.8407800990218572,0.8356176790242724,0.8688564183069677,0.8494596063277381,0.011448488705329305
250,0.8653265163839182,0.8517023007204276,0.8623053683476645,0.8418545201022543,0.8491168951894028,0.8413316290959796,0.8495526376946316,0.8428131536137579,0.8375842435510109,0.8700325354403904,0.8511619800139438,0.011181799677434665
300,0.8675400291120815,0.8545795543612138,0.8649927219796215,0.8445582801477998,0.8517243309819729,0.8443623334453029,0.8523681558616056,0.8458179375209942,0.8408352928003583,0.8722987347441495,0.85390773709551,0.010900533698235959
350,0.8678694900605013,0.855364088159032,0.8656277009507346,0.8453165514261021,0.8521769662921348,0.8449924373379429,0.8532573465859983,0.846694036300778,0.8414271823681937,0.8728932584269663,0.8545619057908385,0.0108273883804544
400,0.8697161047907316,0.8574261559336187,0.8673416136102703,0.8470932053021605,0.8541905855338692,0.8471975785408621,0.8549211982047803,0.8487892704310614,0.8437010750443587,0.8743607139129527,0.8564737501304667,0.010636303971317323
450,0.869397334948516,0.8574601251766606,0.8673531193216233,0.8473147587320816,0.8539269129820312,0.8468604885927721,0.8551383000201898,0.8490056531395114,0.8438067837674137,0.8741924086412276,0.8564455885322028,0.010546678359337602
500,0.8701495454989737,0.8585915355292737,0.8682191379141824,0.8481575603557815,0.8546085426644512,0.8479620760433975,0.8560991105463787,0.8502590167139086,0.8447121493500146,0.8747922979180921,0.8573550972534454,0.010432071914598263
550,0.8695528609321712,0.8582559681697612,0.8677292535051155,0.8472669571807504,0.8538745737021599,0.8476458885941645,0.8555323986358468,0.849824744221296,0.8441407730200834,0.8743605532398636,0.8568183971201213,0.010468605697085819
600,0.8707609594706369,0.8595717305394726,0.8689918206047238,0.8491177281499862,0.8552982262659682,0.8491407039794137,0.856998437643599,0.851392335263303,0.8455334987593052,0.8753791011855527,0.8582184541861961,0.010287251838658348
650,0.8716981973942531,0.8606103872925218,0.8700026771372479,0.8500803141174371,0.8561484918793503,0.8501695520257005,0.8579555595216848,0.8524004997322863,0.8467115830804927,0.8759146885597001,0.8591691950740674,0.010176416331341124
700,0.872279073801058,0.8617205793079524,0.8709348712167201,0.8505333448963663,0.856885786141705,0.8510320006937819,0.8586852831497702,0.8533301534992628,0.8473246032434307,0.876506807735669,0.8599232503685716,0.010178109220254862
750,0.8722587719298245,0.8621162280701754,0.8712044534412956,0.8509615384615384,0.8572241902834008,0.8511724021592442,0.8590165317139,0.8537027665317138,0.847714237516869,0.8764760458839406,0.8601847165991903,0.010057072041101069
800,0.873553074460225,0.863845332895493,0.8724242673015351,0.8527009276742468,0.8587554387981283,0.852967736639028,0.860499958952467,0.8552663984894509,0.8494581725638289,0.8776578277645514,0.8617129135538955,0.009850877956369712
850,0.8741004317927396,0.8645450183911723,0.8729010075163921,0.8533903726211419,0.8593075323844555,0.8534103630257476,0.8612865824404285,0.8558891731968655,0.8500119942427634,0.8781584839277148,0.8623000959539422,0.009824266666224503
900,0.8751461304652793,0.8656768763151741,0.8739576026810069,0.8543176681474554,0.8603187592549294,0.8542787000233809,0.8624814901410646,0.8570454368326708,0.8509664094770477,0.8789260385005065,0.8633115111838514,0.009812676077506612
950,0.8754180602006689,0.8662967467315295,0.8745439343265431,0.8551041349954394,0.8609379750684097,0.8550281240498632,0.8632943143812709,0.857764518090605,0.8517216479173001,0.8793136211614473,0.8639423076923076,0.009663445038202857
1000,0.8768637341443514,0.8677397819152882,0.8760292263185223,0.8568726355611601,0.8624174764483348,0.8565944662858839,0.8649395445441733,0.85930198056524,0.8533491580743268,0.8806282916697574,0.8654736295527037,0.009565495587517056
1050,0.8773359408952629,0.8683724467622772,0.8766659423439085,0.8573627408373171,0.8629219180066638,0.856910039113429,0.8656200202810374,0.860078951180646,0.8539584238736782,0.881156743444879,0.8660383166739098,0.00957144804276206
1100,0.8778748850045998,0.8688875521902201,0.8773795202038073,0.8580072181728116,0.8633677729813884,0.8575649281721038,0.8661099709857759,0.860572500176916,0.8547342721675749,0.8817847286108556,0.8666283348666054,0.009559195866708604
1150,0.8377808497235248,0.8390669839714426,0.8506421922027018,0.8245520403163715,0.8246045355917967,0.8264243718065374,0.8274130328270455,0.8274042836144746,0.8229771820536151,0.8510446559809618,0.8331910128088472,0.01077151784452935
1200,0.8386129551053928,0.8399132562277579,0.8513935464002189,0.8253789693402682,0.8257639269093894,0.8273893033123461,0.8285356214070626,0.8283559745414727,0.8239760128661374,0.8516844032302218,0.8341003969340267,0.010643046178874457
1250,0.8401536453103032,0.8414507598580706,0.8527063667403093,0.8271573943897703,0.8272829216040704,0.8292244091852446,0.8304378389234786,0.8301951529758318,0.8258100689562831,0.8531917386356029,0.8357610296578966,0.010486008621255594
1300,0.8413215830166427,0.8427139300222775,0.8537462324728082,0.8286348447123575,0.828741318306906,0.8306496527322762,0.8320174289084,0.8314768706591535,0.8272343074302189,0.8545652601231818,0.8371101428384223,0.01037832520919328
1350,0.8426413036504778,0.8441730288060563,0.8550875729774812,0.8303554243921216,0.8302351318406365,0.8323041637261821,0.8337637133508692,0.8332665041380637,0.8291925963944312,0.8559937768653365,0.8387013216141657,0.010217568480191414
1400,0.8436557315233786,0.8452425842131723,0.8559420563097033,0.8318093262946205,0.8314165409753644,0.8335611488185016,0.835038021618904,0.8344409879336351,0.8305052790346907,0.8570025766716943,0.8398614253393666,0.010065281834254383
1450,0.8447681221900597,0.8464001970807415,0.8569316992055183,0.8331819301595121,0.8325891482416703,0.8349679743795035,0.8362767136786352,0.8356993286937241,0.8319809693908975,0.8580633737759438,0.8410859456796205,0.009934587227686793
1500,0.8455651491365779,0.8471123656563216,0.8575428692186934,0.83392706194904,0.8332100591715975,0.8359271223282212,0.8371724429416737,0.8364780823572032,0.8328326892887332,0.8588787586040333,0.8418646600652095,0.009901113161845882
1550,0.8462870847397407,0.8480710013619944,0.8583747853378338,0.834895185645763,0.8340957541303962,0.8369233730088234,0.8381521288565168,0.8374637294960621,0.8339403091135194,0.8595739326108841,0.8427777284301534,0.009804955386915518
1600,0.8456672670230072,0.8474828607947943,0.8578317452939809,0.834221763885661,0.833430165001162,0.8362624912851498,0.8377004415524052,0.8369378921682546,0.8333575412502905,0.8590009876830118,0.8421893155937716,0.00982341428662329
1650,0.8451559559787878,0.8471303529680104,0.8574371329189714,0.8337657524091919,0.8328747790386041,0.8358898329246736,0.8373225181045788,0.8367380395734733,0.8330743570736157,0.8586916234247591,0.8418080344414666,0.009834566227811078
1700,0.8446492554025306,0.8467276900683014,0.8568609338259993,0.833424308588064,0.8323466017243311,0.8354677527712462,0.8368813682678312,0.8363075243533759,0.8325635427163811,0.8581695778748181,0.8413398555592877,0.009800037045030872
1750,0.8455765106944519,0.8477827569142794,0.8576661901358112,0.8345933908835982,0.83343871996481,0.8365934458679276,0.8379543080222136,0.8373632264804531,0.8336517842414911,0.8591301479078464,0.8423750481112883,0.00971047988723695
1800,0.8459040082108903,0.8480782735522904,0.857923238980121,0.834924643474503,0.8336687013828868,0.8368018042350908,0.8382738223854796,0.8378416702679343,0.8339252917026794,0.8593817523768366,0.8426723206568714,0.009696567891220297
1850,0.8458950469820035,0.8483370494240059,0.8580055210489993,0.8350652970218188,0.8338310240484154,0.8370759675107501,0.8384031427509688,0.8380248978075064,0.8341030949726601,0.8595583160800552,0.8428299357647184,0.009678619726235413
1900,0.8463364993215741,0.8487827471036427,0.8583916083916084,0.8357165222836864,0.8343074835612149,0.8375887172528964,0.8389129527189229,0.8387107295689386,0.8346727898966704,0.8601072435027659,0.8433527293601921,0.009633406550938105
1950,0.8471160260686612,0.8495663775850566,0.8590791296761945,0.8367437265869554,0.835140093395597,0.8384820649663878,0.839803458716067,0.8396944116590548,0.8357109868117205,0.8609778313747626,0.8442314106840458,0.009558250793471742
2000,0.8473589238845144,0.8496365838885522,0.8592014940440138,0.8370368968302039,0.8352324348879467,0.8386457702402583,0.8400148899656773,0.840008580658187,0.8359390773268726,0.8611258328285887,0.8444200484554815,0.009524718698357082
2050,0.8478609028157124,0.8502631970998659,0.8595806227342703,0.8377365049411533,0.8358618463524856,0.8393318269851517,0.8406664349207926,0.840554700302925,0.8366005363261658,0.8615918458558871,0.8450048418334409,0.009435474115193857
2100,0.8480659270843515,0.8505033721043886,0.8595689570911935,0.838004593881341,0.8361902551070276,0.8394646173394584,0.841010165184244,0.8408085719870981,0.8367950346984655,0.8617925911445606,0.845220408562213,0.009377531785087647
2150,0.8482284600952519,0.8508262375523163,0.8598462981671237,0.8384206475200847,0.8365444749122047,0.8398818973396834,0.8413792274017414,0.8411807860682158,0.8372179727714437,0.8622095540482032,0.845573555587627,0.009350548134525528
2200,0.848753078817734,0.8514529651383099,0.8603519325502084,0.8391021693823418,0.8372904035619554,0.8406948654793482,0.8420684918529746,0.8418138973095869,0.8380660287987874,0.8627853827207276,0.8462379215611973,0.009261539029668623
2250,0.8538888101405016,0.8564832115596906,0.8675223036910085,0.8446924302754618,0.8421882315546221,0.8464062815440984,0.8465480286415045,0.8479612042489767,0.8459123143864713,0.8637466764601025,0.8515349492502438,0.008592549924088878
2300,0.8440949227373068,0.8468369378965405,0.8605991139103722,0.8350159774000834,0.8301841646212507,0.8340511585544697,0.8379104339369241,0.8386784297380324,0.8348654656601676,0.8553736550425293,0.8417610259497676,0.00990077914165642
2350,0.8439277458405572,0.8466899352130668,0.8604761687501901,0.8348693615597531,0.8301776317790553,0.8339226510934696,0.837831158560696,0.8384889132220092,0.8348199349089029,0.8551494966085714,0.841635299753627,0.009864515366097835
2400,0.8444904014746214,0.8473358659653225,0.8610480450778523,0.8355531328208124,0.8310460968993993,0.8346727060198714,0.8384454285243299,0.839168502450209,0.8355905977910655,0.8557055403198011,0.8423056317343285,0.009783100135441383
2450,0.8446565195557131,0.8475200874394423,0.8611492673992674,0.8357704123833156,0.8314353657095592,0.8350023632281697,0.8385545905707195,0.8394444936783647,0.835870111071724,0.8559132399858206,0.8425316451022097,0.009720184395239364
2500,0.8450872901469152,0.8479793677834563,0.8614587428471585,0.8363018535505758,0.8320465498915244,0.8356211505700433,0.8390465062100496,0.8398873745977664,0.8364656590806505,0.8564317331353106,0.843032622781345,0.00964701277354402
2550,0.8449299394148219,0.8477169293938611,0.8611188876446435,0.8360951991271139,0.8319963677606454,0.8355245212048125,0.8387763086111351,0.8397059034657018,0.8362674792546013,0.8562627415510954,0.8428394277428432,0.009594947251129261
2600,0.8450211669427572,0.8477378272381033,0.8611848532472497,0.8361526426821845,0.8321918050659078,0.8356818728850756,0.8388356765634513,0.8397559784224611,0.8363260841863823,0.8563355703747753,0.8429223477608346,0.009572315006767512
2650,0.8454904753924362,0.8481177727501257,0.861563250656388,0.8365925786268924,0.8327659767610748,0.8363342131724485,0.8392181302720518,0.8402446092397072,0.8368858583319368,0.856853318250377,0.8434066183453437,0.009526278402682145
2700,0.8457542815414927,0.8481706140894749,0.861580140260957,0.8367347993221179,0.8331249397208559,0.8365970184213064,0.8393250802573747,0.8403067691756568,0.8370413618264236,0.8569954807864534,0.8435630485402112,0.009465010414187186
2750,0.8460688745683445,0.8483478124915027,0.8617291377763276,0.8372811131957474,0.8336783179704705,0.8369548223074204,0.8397418903118798,0.8406391902547787,0.8373898768251895,0.8573514016912744,0.8439182437392935,0.009369776975679917
2800,0.8461370741590521,0.8484264514484294,0.8617937312992258,0.837430731661501,0.8339354479464371,0.837102000563539,0.8398157093212039,0.8406777898536141,0.8375045284385945,0.8573759878704932,0.844019945256209,0.009324161658047945
2850,0.8464717101080736,0.8487480795719434,0.862042077240941,0.8378049507310871,0.8343283137317228,0.837447353782581,0.8401425752278026,0.8409637237762237,0.8378380615596526,0.8576681367874549,0.8443454982517483,0.009289898589080902
2900,0.8472685312307955,0.8493785875861347,0.8626698178584971,0.8386403457158174,0.8352276441899084,0.838391911505119,0.840895866839263,0.8417163535088062,0.8386141947462704,0.8582764549745683,0.845107970815518,0.009193621776578434
2950,0.8470317866088259,0.8490345882717484,0.862368308931753,0.8384541147003383,0.8349778578252898,0.8382120355307666,0.8405327678363932,0.8413655201797196,0.8382281741420714,0.8579011413225915,0.8448106295349497,0.009168404030327908
3000,0.8477444567698175,0.8495852937051347,0.8629158219536139,0.8392702316745081,0.8357830011857859,0.8390407247319233,0.8411062872151883,0.8420530033533514,0.8389801603998521,0.8584882505195782,0.8454967231508753,0.009082215417527118
3050,0.8481153342400888,0.8499430129464511,0.8631696765906001,0.8396947886756336,0.8363511284066294,0.8395877411717295,0.841517744698,0.8424307969371821,0.8393642007959295,0.8587586897385522,0.8458933114200796,0.008995846287817987
3100,0.8481661876858384,0.850015240299083,0.8632058746687568,0.8397700269971012,0.8364980280919145,0.8397047114296022,0.8415646499707635,0.8425474937483671,0.8394061259781782,0.8588390624416825,0.8459717401311287,0.008978320685002551
3150,0.8481420704575068,0.8499105760011801,0.8631766723209675,0.8398403889175702,0.8366444796813924,0.8397758561349165,0.8414813653907613,0.842556911768321,0.8393671485114438,0.8587853701108734,0.8459680839294933,0.008937118695445768
3200,0.8482278419511957,0.8500634648787184,0.8632939183033924,0.8399849992104849,0.8368603408276549,0.8399971455987563,0.8415336637150944,0.8426754242126103,0.8394748509030838,0.8588392304048391,0.8460950880005832,0.008910895060009227
3250,0.8486387208297319,0.8504768678574859,0.8635734778642081,0.8404353332372996,0.8374162705272256,0.8405253649284549,0.8418908455776434,0.843043251224431,0.8398651325266493,0.8591259123211371,0.8464991176894268,0.008841269243786377
3300,0.8485921759869006,0.8504505867416559,0.8635469689958352,0.840370970229832,0.8375084540632898,0.8405697148755917,0.8419075333119758,0.843055506116589,0.8398073660105126,0.8589995728473285,0.8464808849179513,0.008807490369210334
